Player,Team,Height,Weight,MinutesPlayed,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,Reb_Off_3_48,Reb_Off_2_48,Reb_Def_3_48,Reb_Def_2_48
"Harrison Barnes",DAL,203,102,1584,23.7,6.3,0.434,0.276,0.1818,0.8485,2.0000,2.7576
"DeMar DeRozan",SA,201,99,2688,27.9,27.6,0.034,0.336,0.1250,0.7857,2.7857,3.9464
"Brandon Ingram",LAL,206,86,1760,23.2,12.9,0.129,0.396,0.2182,0.8182,2.8909,3.0818
"Monte Morris",DEN,190,79,1970,17.1,21.7,0.323,0.115,0.3411,0.5117,1.8274,1.9980
"Miles Bridges",CHA,201,102,1696,15.1,8.1,0.391,0.151,0.8491,0.9906,3.3113,3.3113
"Eric Bledsoe",MIL,185,92,2272,22.9,27.4,0.388,0.243,0.7817,0.8451,2.9577,2.7887
"DeAndre Jordan",DAL,211,120,1554,14.4,9.5,0,0.613,1.6988,3.2741,5.7143,9.5135
"Kris Dunn",CHI,193,92,1389,20.1,30,0.19,0.136,0.1382,0.5184,3.1793,2.5227
"Malik Beasley",DEN,196,88,1879,18.7,7.5,0.55,0.09,0.4343,0.4598,2.2225,1.6605
"Julius Randle",NO,206,113,2232,27.8,15.8,0.179,0.447,0.6022,2.7312,4.1290,4.8387
"Elie Okobo",PHX,190,86,958,17,18.7,0.455,0.162,0.2004,0.4008,1.5031,2.6555
"Kevin Knox",NY,206,97,2158,22.3,6,0.398,0.247,0.4671,0.9342,2.7581,3.0918
"Jonathan Isaac",ORL,208,95,1996,16.3,5.7,0.435,0.221,0.7455,1.5391,3.1984,3.9439
"Eric Gordon",HOU,193,97,2158,22,9.4,0.64,0.162,0.1112,0.2447,1.2678,1.5348
"Kemba Walker",CHA,185,83,2863,31.5,29.4,0.434,0.267,0.2683,0.5700,1.9783,3.0513
"Jordan Clarkson",CLE,196,87,2214,27.6,15.6,0.377,0.163,0.3902,1.3442,1.9295,1.9946
"Antonio Blakeney",CHI,193,87,829,24.5,8.2,0.23,0.192,0.0579,0.2895,3.1846,2.3160
"Michael Kidd-Gilchrist",CHA,201,105,1179,15.7,7.4,0.142,0.37,0.9364,2.5242,2.8906,3.2977
"Bam Adebayo",MIA,208,115,1913,15.8,14.2,0.031,0.465,1.0288,2.9859,4.5917,5.3194
"Kentavious Caldwell-Pope",LAL,196,92,2035,18.1,7.5,0.575,0.209,0.4010,0.6369,2.3351,2.0757
"Serge Ibaka",TOR,208,106,2010,22.9,7.7,0.193,0.202,1.0985,2.5552,4.3463,5.5164
"Trae Young",ATL,188,81,2503,28.4,40.5,0.384,0.33,0.3644,0.8246,2.2437,2.1095
"Jakob Poeltl",SA,213,104,1273,13.1,10,0,0.317,1.8476,4.7887,2.6394,5.5428
"Kevon Looney",GS,206,99,1481,12.8,10.9,0.029,0.303,1.6205,4.5375,2.1067,4.3754
"Bradley Beal",WSH,196,93,3028,28.4,24.1,0.37,0.278,0.6816,0.6816,2.1083,2.7900
"Seth Curry",POR,188,83,1399,16.6,6.5,0.54,0.112,0.4117,0.5147,1.5440,1.6126
"Ish Smith",DET,183,79,1251,19.9,25.4,0.276,0.127,0.2686,0.6523,1.9185,2.3405
"Gary Harris",DEN,193,95,1639,20,11,0.38,0.226,0.3221,0.8200,1.5815,1.7865
"Evan Fournier",ORL,201,92,2553,22.1,17.6,0.421,0.159,0.1880,0.5076,1.5041,2.5946
"Mario Hezonja",NY,203,102,1206,21.3,11.5,0.328,0.246,0.3980,0.7164,3.4627,3.9403
"Taj Gibson",MIN,206,105,1686,17.2,7.3,0.063,0.33,1.1103,3.6726,2.9609,4.3559
"Giannis Antetokounmpo",MIL,211,109,2358,32.3,30.3,0.163,0.55,0.8957,2.1578,6.0051,7.5522
"Cedi Osman",CLE,203,97,2444,18.6,12.1,0.443,0.214,0.3339,0.5303,2.8085,2.7300
"Tony Snell",MIL,201,96,1304,12.9,6.7,0.565,0.116,0.6258,0.4417,1.7301,2.3190
"Marvin Williams",CHA,206,107,2133,14.9,6.1,0.586,0.132,0.8101,0.9001,3.2180,3.8931
"Myles Turner",IND,211,113,2119,20,8,0.251,0.258,0.4530,1.8348,3.8509,5.2327
"Maxi Kleber",DAL,211,108,1502,13.5,6.8,0.565,0.192,0.1278,0.0320,0.0959,0.3515
"Noah Vonleh",NY,206,113,1722,14.8,11.1,0.311,0.355,0.8920,2.1742,4.3206,6.4111
"Dragan Bender",PHX,216,102,826,13.4,9.4,0.513,0.274,0.6392,1.3947,1.9177,5.2881
