,Player,Team,Age,Height,Weight,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,TotalFouls,TotalBlocks,OR3_per48,OR2_per48,DR3_per48,DR2_per48,label
60,Dewayne Dedmon,ATL,29,213,111,16.7,8.1,0.413,0.215,214,71,1.2231,1.7899,4.8626,5.3101,1
61,Michael Kidd-Gilchrist,CHA,25,201,105,15.7,7.4,0.142,0.37,156,39,0.9364,2.5242,2.8906,3.2977,1
67,Jaren Jackson Jr.,MEM,19,211,109,22.8,7.2,0.24100000000000002,0.33399999999999996,220,82,0.3168,1.9644,2.0277,4.0554,1
69,Darius Miller,NO,28,203,102,13.4,10.4,0.752,0.147,165,23,0.1912,0.1639,1.4206,1.5572,1
73,Buddy Hield,SAC,26,193,99,25.1,11.9,0.479,0.142,202,33,0.5507,1.3767,2.8818,2.6799,1
77,Mikal Bridges,PHX,22,201,95,12.2,9.8,0.556,0.21,201,38,0.3773,0.7348,1.7476,2.2044,1
80,Anthony Davis,NO,25,208,114,29.5,19.0,0.141,0.42200000000000004,132,135,1.1157,3.373,5.0335,7.6022,1
83,Pascal Siakam,TOR,24,206,104,20.8,14.6,0.226,0.32,241,52,0.9796,1.281,3.3344,4.1068,1
89,Maxi Kleber,DAL,27,211,108,13.5,6.8,0.565,0.192,143,78,0.1278,0.032,0.0959,0.3515,1
92,Marcus Morris,BOS,29,203,106,20.9,7.5,0.461,0.205,181,25,0.4591,1.1937,3.5811,4.3615,1
93,Cedi Osman,CLE,23,203,97,18.6,12.1,0.44299999999999995,0.214,195,11,0.3339,0.5303,2.8085,2.73,1
95,Bam Adebayo,MIA,21,206,115,15.8,14.2,0.031,0.465,203,65,1.0288,2.9859,4.5917,5.3194,1
96,Aron Baynes,BOS,32,208,117,15.2,9.3,0.27399999999999997,0.278,125,34,1.5786,3.5664,2.9233,5.4373,1
97,Maurice Harkless,POR,25,206,99,13.9,7.1,0.309,0.188,163,53,0.7124,1.8996,2.171,3.7314,1
100,Robin Lopez,CHI,30,213,124,18.6,8.8,0.057999999999999996,0.23,124,78,1.076,3.1083,1.1059,3.0187,1
101,LaMarcus Aldridge,SA,33,211,117,26.9,11.6,0.032,0.312,179,107,1.0361,3.3584,3.2691,4.9483,1
104,Montrezl Harrell,LAC,25,203,108,23.5,12.5,0.019,0.466,255,110,0.6895,3.2252,2.4022,4.3596,1
108,Jae Crowder,UTAH,28,198,106,19.1,8.9,0.655,0.247,170,31,0.687,0.5762,2.0831,4.2548,1
113,Andre Drummond,DET,25,211,126,22.9,7.2,0.036000000000000004,0.392,272,138,2.1035,5.4039,5.3313,8.0876,1
115,Lauri Markkanen,CHI,21,213,108,25.1,7.2,0.418,0.245,122,33,0.4566,1.6552,3.824,6.5351,1
116,Enes Kanter,NY,26,208,118,22.9,13.1,0.047,0.276,106,17,1.7872,5.3191,4.9362,6.6809,1
118,Mike Muscala,PHI,27,211,108,14.3,7.9,0.716,0.27699999999999997,112,27,1.1988,1.0605,2.4438,4.1499,1
119,Nikola Jokic,DEN,23,213,114,27.4,37.0,0.22399999999999998,0.292,228,55,0.9201,3.393,4.0831,6.9968,1
121,Marvin Bagley III,SAC,19,211,108,24.2,5.9,0.136,0.371,120,59,1.2253,3.7064,4.1353,4.411,1
125,Julius Randle,NO,24,203,113,27.8,15.8,0.179,0.447,246,45,0.6022,2.7312,4.129,4.8387,1
129,Zaza Pachulia,DET,34,211,122,15.0,14.7,0.021,0.642,151,17,1.3667,3.8815,2.3508,5.7403,1
133,Ante Zizic,CLE,22,211,115,18.2,7.7,0.0,0.39899999999999997,113,22,1.0203,3.7264,3.7264,5.0573,1
135,Zach Collins,POR,21,211,105,16.6,7.1,0.303,0.315,174,66,0.9558,2.7257,2.8673,4.0354,1
138,Jeff Green,WSH,32,206,106,17.8,9.2,0.466,0.3,160,39,0.5036,0.8011,2.3348,3.0672,1
142,Josh Jackson,PHX,21,203,93,23.9,14.1,0.268,0.253,209,56,0.4588,1.0865,2.7525,3.3803,1
143,Meyers Leonard,POR,26,213,117,14.8,11.8,0.45899999999999996,0.21100000000000002,105,9,1.0387,1.7494,3.9362,5.5216,1
145,Danilo Gallinari,LAC,30,208,105,23.8,13.2,0.42100000000000004,0.45899999999999996,129,23,0.3963,0.7227,2.6343,5.4085,1
146,Rodions Kurucs,BKN,20,206,103,18.4,6.0,0.41,0.205,146,25,0.8532,1.1128,2.5224,4.1175,1
