Player,Team,Age,Height,Weight,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,TotalFouls,TotalBlocks,OR3_per48,OR2_per48,DR3_per48,DR2_per48
"Pascal Siakam",TOR,24,206,104,20.8,14.6,0.226,0.32,241,52,0.9796,1.2810,3.3344,4.1068
"Shelvin Mack",MEM,28,190,92,18,23.3,0.329,0.193,81,4,0.0797,0.6379,1.7143,1.6346
"James Ennis III",HOU,28,201,95,11.9,4.1,0.569,0.275,111,16,1.1633,0.7081,2.0232,1.7197
"Marcus Smart",BOS,24,190,102,14.6,19.1,0.61,0.228,201,28,0.5236,0.7200,1.7236,2.0509
"Collin Sexton",CLE,20,188,86,25.2,15.3,0.245,0.211,186,6,0.3132,0.7923,1.7689,1.5294
"E'Twaun Moore",NO,29,193,86,17.3,9.5,0.331,0.111,112,8,0.2625,0.8202,1.6405,1.2796
"Maxi Kleber",DAL,27,211,108,13.5,6.8,0.565,0.192,143,78,0.1278,0.0320,0.0959,0.3515
"Alec Burks",CLE,27,198,97,19.2,15,0.35,0.288,62,16,0.3432,0.8825,3.3830,3.9224
"Spencer Dinwiddie",BKN,25,196,97,24.9,25.6,0.447,0.43,187,17,0.3511,0.3009,1.3041,2.1317
"Marcus Morris",BOS,29,203,106,20.9,7.5,0.461,0.205,181,25,0.4591,1.1937,3.5811,4.3615
"Cedi Osman",CLE,23,203,97,18.6,12.1,0.443,0.214,195,11,0.3339,0.5303,2.8085,2.7300
"Al Horford",BOS,32,208,111,18.9,21.2,0.281,0.131,126,86,1.0948,1.7760,2.9681,4.7927
"Bam Adebayo",MIA,21,206,115,15.8,14.2,0.031,0.465,203,65,1.0288,2.9859,4.5917,5.3194
"Aron Baynes",BOS,32,208,117,15.2,9.3,0.274,0.278,125,34,1.5786,3.5664,2.9233,5.4373
"Maurice Harkless",POR,25,206,99,13.9,7.1,0.309,0.188,163,53,0.7124,1.8996,2.1710,3.7314
"Wilson Chandler",PHI,31,203,106,11.2,9.9,0.57,0.087,94,18,0.7571,1.2618,2.3722,3.6341
"De'Aaron Fox",SAC,21,190,83,24.5,33.2,0.211,0.378,204,45,0.1320,0.6410,2.5263,2.3755
"Robin Lopez",CHI,30,213,124,18.6,8.8,0.058,0.23,124,78,1.0760,3.1083,1.1059,3.0187
"LaMarcus Aldridge",SA,33,211,117,26.9,11.6,0.032,0.312,179,107,1.0361,3.3584,3.2691,4.9483
"Tim Hardaway Jr.",NY,26,198,92,25.9,13.5,0.464,0.321,106,6,0.1281,0.6724,1.9213,1.9853
"Aaron Gordon",ORL,23,206,99,21.8,16.6,0.332,0.242,172,56,0.6745,1.6407,3.5549,4.0289
"Montrezl Harrell",LAC,25,203,108,23.5,12.5,0.019,0.466,255,110,0.6895,3.2252,2.4022,4.3596
